dataset,model,model_display,model_family,params_million,pth_size_mb,cpu_accuracy_percent,gpu_accuracy_percent,npu_accuracy_percent,cpu_gpu_accuracy_diff_pp,npu_gpu_accuracy_diff_pp,cpu_mean_latency_ms,gpu_mean_latency_ms,npu_mean_latency_ms,cpu_median_latency_ms,gpu_median_latency_ms,npu_median_latency_ms,cpu_p95_latency_ms,gpu_p95_latency_ms,npu_p95_latency_ms,cpu_fps,gpu_fps,npu_fps,gpu_cpu_speedup,npu_cpu_speedup,npu_gpu_latency_ratio,gpu_npu_latency_ratio,fastest_accelerator,cpu_runtime,gpu_runtime,npu_runtime
EuroSAT,resnet18,ResNet18,Residual CNN,11.181642,42.732493,98.222222,98.222222,98.222222,0.0,0.0,6.570398,1.686482,1.583159,6.4332,1.6565,1.5779,8.031265,2.000615,1.6989,152.197779,592.950165,631.648475,3.89591943465747,4.150182009513889,0.9387345966337025,1.0652638174687445,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,mobilenet_v2,MobileNetV2,Mobile CNN,2.236682,8.772655,97.444444,97.444444,97.481481,0.0,0.03703699999999799,7.659,3.62539,1.073492,7.4541,3.4778,1.08495,9.379385,4.356325,1.1463,130.565345,275.832408,931.539206,2.112600299553979,7.134659596904309,0.2961038674459851,3.3771933093120396,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,mobilenet_v3_small,MobileNetV3-Small,Mobile CNN,1.528106,5.963967,98.037037,98.037037,98.0,0.0,-0.03703699999999799,4.822894,3.871582,1.178822,4.61745,3.766,1.1884,6.318095,4.46224,1.2181,207.344393,258.292356,848.304449,1.2457166088694491,4.091282653360728,0.3044807006541512,3.2842804087470374,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,mobilenet_v3_large,MobileNetV3-Large,Mobile CNN,4.214842,16.283223,98.407407,98.444444,98.444444,-0.03703699999999799,0.0,7.891915,4.527316,1.647119,7.6512,4.45195,1.6444,9.71588,5.215375,1.683405,126.711965,220.881433,607.120544,1.7431774146094507,4.791344766225149,0.36381798840637586,2.7486271483724005,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,efficientnet_b0,EfficientNet-B0,Efficient CNN,4.020358,15.630519,98.407407,98.407407,98.37037,0.0,-0.0370370000000122,11.083854,6.018408,2.783654,10.8821,5.9049,2.7831,12.90284,6.851225,2.8246,90.221328,166.15689,359.240072,1.8416587908297344,3.9817642566209743,0.46252331181269196,2.1620531862077685,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,efficientnet_v2_s,EfficientNetV2-S,Efficient CNN,20.190298,77.898761,98.296296,98.296296,98.296296,0.0,0.0,27.696637,12.416017,6.298984,27.306,12.16505,6.1751,31.348695,14.464605,6.61221,36.105467,80.541124,158.755761,2.2307183535589554,4.397000690905073,0.5073272692845057,1.9711142304854243,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,shufflenet_v2_x1_0,ShuffleNetV2,Lightweight CNN,1.263854,4.999408,98.518519,98.518519,98.555556,0.0,0.03703699999999799,7.597042,4.506628,1.385873,7.4249,4.38565,1.3854,9.1654,5.160625,1.425105,131.63018,221.895416,721.566987,1.6857486351214255,5.481773582427827,0.3075188367000782,3.251833320946436,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,convnext_tiny,ConvNeXt-Tiny,Modern CNN,27.827818,106.222705,98.481481,98.481481,98.444444,0.0,-0.03703699999999799,14.962642,4.028947,11.052006,14.61005,3.92425,11.09415,18.02043,4.697105,11.351105,66.833118,248.20381,90.481312,3.7137847680796003,1.353839474933329,2.7431500091711314,0.3645444094040484,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,repvit_m0_9,RepViT-M0.9,Recent Lightweight Vision Model,4.727028,18.48632,98.37037,98.37037,98.37037,0.0,0.0,17.965329,9.281492,3.221466,17.6,9.03665,3.202,20.78049,10.845805,3.358305,55.662771,107.741299,310.417646,1.935607874251252,5.576755737915596,0.3470849298798081,2.8811392080499996,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
EuroSAT,starnet_s4,StarNet-S4,Recent Lightweight CNN,7.228298,27.803222,97.481481,97.481481,97.555556,0.0,0.07407499999999345,16.617493,6.787183,3.189292,16.2222,6.6232,3.1726,19.9126,8.110505,3.332,60.17755,147.336522,313.549206,2.4483637762529757,5.210401869756673,0.4698992203392777,2.128115895314697,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
